A timeline of the main frame has been computed and events from the date of interest (19/4/2017) have been isolated. Here are the events in a CSV format (; is the separator):

Timestamp;macb;Source Name;Type;Short Description
2017-04-19 17:14:16;m...;REG;Content Modification Time;[\ControlSet001\Control\DeviceClasses\{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}\...
2017-04-19 17:14:16;m...;REG;Content Modification Time;[\ControlSet001\Control\DeviceClasses\{a5dcbf10-6530-11d2-901f-00c04fb951ed}\...
2017-04-19 17:14:16;m...;REG;Content Modification Time;[\ControlSet001\Control\DeviceClasses\{a5dcbf10-6530-11d2-901f-00c04fb951ed}\...
2017-04-19 17:14:16;m...;REG;Content Modification Time;[\ControlSet001\Enum\STORAGE\RemovableMedia\7&13783742&0&RM] Capabilities: [R...
2017-04-19 17:14:16;.a..;REG;Last Connection Time;[\ControlSet001\Enum\USB] product: Pid_1000 serial: 9112000000045554 subkey_n...
2017-04-19 17:14:16;m...;REG;Content Modification Time;[\ControlSet001\Enum\USB\Vid_090c&Pid_1000\9112000000045554] Capabilities: [R...
2017-04-19 17:14:16;.a..;REG;Last Connection Time;[\ControlSet001\Enum\USBSTOR] device_type: Disk friendly_name: General USB Fl...
2017-04-19 17:14:16;m...;REG;Content Modification Time;[\ControlSet001\Enum\USBSTOR\Disk&Ven_General&Prod_USB_Flash_Disk&Rev_1100\91...
2017-04-19 17:14:16;m...;REG;Content Modification Time;[\ControlSet001\Services\USBSTOR] DisplayName: USB Mass Storage Driver ErrorC...
2017-04-19 17:14:16;m...;REG;Content Modification Time;[\ControlSet001\Services\USBSTOR] DisplayName: [REG_SZ] USB Mass Storage Driv...
2017-04-19 17:14:16;.a..;FILE;atime;/WINDOWS/system32/drivers/USBSTOR.SYS
2017-04-19 17:14:19;m...;REG;Content Modification Time;[\Software\Microsoft\Windows\CurrentVersion\Explorer\MountPoints2] Type: Driv...
2017-04-19 17:14:19;m...;REG;Content Modification Time;[\Software\Microsoft\Windows\CurrentVersion\Explorer\MountPoints2] Value: No ...
2017-04-19 17:14:19;m...;REG;Content Modification Time;[\Software\Microsoft\Windows\CurrentVersion\Explorer\MountPoints2\E] BaseClas...
2017-04-19 17:14:20;m...;REG;Content Modification Time;[\Software\Microsoft\Windows\CurrentVersion\Explorer\MountPoints2] Type: Volu...
2017-04-19 17:14:20;m...;REG;Content Modification Time;[\Software\Microsoft\Windows\CurrentVersion\Explorer\MountPoints2\{ad1911fd-2...
2017-04-19 17:14:20;.a..;LOG;Last Time Executed;RUNDLL32.EXE was run 3 time(s)
2017-04-19 17:14:24;..c.;FILE;ctime;/Documents and Settings/Administrator/Cookies
2017-04-19 17:14:24;..c.;FILE;ctime;/Documents and Settings/Administrator/Cookies/index.dat
2017-04-19 17:14:24;m...;FILE;mtime;/Documents and Settings/Administrator/Cookies/index.dat
2017-04-19 17:14:30;..c.;FILE;ctime;/WINDOWS/system32/config/systemprofile/Cookies
2017-04-19 17:14:30;..c.;FILE;ctime;/WINDOWS/system32/config/systemprofile/Cookies/index.dat
2017-04-19 17:14:39;...b;LNK;Creation Time;C:\Documents and Settings\Administrator\Desktop\Out-of-date-GmbH secrects.docx
2017-04-19 17:14:40;...b;FILE;Creation Time;Name: OUT-OF~1.DOC Origin: Out-of-date-GmbH secrects.lnk
2017-04-19 17:14:40;.a..;FILE;Last Access Time;Name: OUT-OF~1.DOC Origin: Out-of-date-GmbH secrects.lnk
2017-04-19 17:14:46;m...;REG;Content Modification Time;[\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1...
2017-04-19 17:14:46;m...;REG;Content Modification Time;[\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{75048700-EF1...
2017-04-19 17:14:46;.a..;LOG;Last Time Executed;RUNDLL32.EXE was run 1 time(s)
2017-04-19 17:14:48;m...;REG;Content Modification Time;"[\Software\Microsoft\Windows\ShellNoRoam\MUICache] @""C:\Program Files\Windows..."
2017-04-19 17:14:51;m...;REG;Content Modification Time;[\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs] Index: 1 [MR...
2017-04-19 17:14:51;m...;REG;Content Modification Time;[\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.docx] Index:...
2017-04-19 17:14:51;m...;REG;Content Modification Time;[\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs] Index: 1 [MR...
2017-04-19 17:14:51;m...;REG;Content Modification Time;[\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs] 0: [REG_BINA...
2017-04-19 17:14:51;m...;REG;Content Modification Time;[\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.docx] Index:...
2017-04-19 17:14:51;m...;REG;Content Modification Time;[\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.docx] 0: [RE...
2017-04-19 17:14:51;.a..;WEBHIST;Last Visited Time;Location: Visited: Administrator@file:///C:/Documents%20and%20Settings/Admini...
2017-04-19 17:14:51;.a..;WEBHIST;Last Visited Time;Location: Visited: Administrator@file:///C:/Documents%20and%20Settings/Admini...
2017-04-19 17:14:51;.a..;WEBHIST;Last Visited Time;Location: :2017041920170420: Administrator@file:///C:/Documents%20and%20Setti...
2017-04-19 17:14:51;.a..;WEBHIST;Last Visited Time;Location: :2017041920170420: Administrator@file:///C:/Documents%20and%20Setti...
2017-04-19 17:14:51;.a..;WEBHIST;Last Visited Time;Location: :2017041920170420: Administrator@:Host: My Computer
2017-04-19 17:14:51;.a..;WEBHIST;Last Visited Time;Location: :2017041920170420: Administrator@:Host: My Computer
2017-04-19 17:14:51;..c.;FILE;ctime;/Documents and Settings/Administrator/Recent/Out-of-date-GmbH secrects.lnk
2017-04-19 17:14:51;m...;FILE;mtime;/Documents and Settings/Administrator/Recent/Out-of-date-GmbH secrects.lnk
2017-04-19 17:14:51;.a..;FILE;atime;/Documents and Settings/Administrator/Recent/Out-of-date-GmbH secrects.lnk
2017-04-19 17:14:51;...b;FILE;crtime;/Documents and Settings/Administrator/Recent/Out-of-date-GmbH secrects.lnk
2017-04-19 17:14:51;.a..;LNK;Last Access Time;C:\Documents and Settings\Administrator\Desktop\Out-of-date-GmbH secrects.docx
2017-04-19 17:14:51;.a..;LOG;Last Time Executed;WORDPAD.EXE was run 1 time(s)
2017-04-19 17:14:52;....;WEBHIST;Last Checked Time;Location: Visited: Administrator@file:///C:/Documents%20and%20Settings/Admini...
2017-04-19 17:14:52;....;WEBHIST;Last Checked Time;Location: :2017041920170420: Administrator@file:///C:/Documents%20and%20Setti...
2017-04-19 17:14:52;....;WEBHIST;Last Checked Time;Location: :2017041920170420: Administrator@:Host: My Computer
2017-04-19 17:14:52;..c.;FILE;ctime;/WINDOWS/Prefetch/RUNDLL32.EXE-451FC2C0.pf
2017-04-19 17:14:52;m...;FILE;mtime;/WINDOWS/Prefetch/RUNDLL32.EXE-451FC2C0.pf
2017-04-19 17:14:52;.a..;FILE;atime;/WINDOWS/Prefetch/RUNDLL32.EXE-451FC2C0.pf
2017-04-19 17:14:52;..c.;FILE;ctime;/WINDOWS/Prefetch/NTOSBOOT-B00DFAAD.pf
2017-04-19 17:14:52;m...;FILE;mtime;/WINDOWS/Prefetch/NTOSBOOT-B00DFAAD.pf
2017-04-19 17:14:52;.a..;FILE;atime;/WINDOWS/Prefetch/NTOSBOOT-B00DFAAD.pf
2017-04-19 17:14:52;..c.;FILE;ctime;/WINDOWS/Prefetch/RUNDLL32.EXE-3D25E81D.pf
2017-04-19 17:14:52;m...;FILE;mtime;/WINDOWS/Prefetch/RUNDLL32.EXE-3D25E81D.pf
2017-04-19 17:14:52;.a..;FILE;atime;/WINDOWS/Prefetch/RUNDLL32.EXE-3D25E81D.pf
2017-04-19 17:14:52;...b;FILE;crtime;/WINDOWS/Prefetch/RUNDLL32.EXE-3D25E81D.pf
2017-04-19 17:15:01;..c.;FILE;ctime;/WINDOWS/Prefetch/WORDPAD.EXE-24533991.pf
2017-04-19 17:15:01;m...;FILE;mtime;/WINDOWS/Prefetch/WORDPAD.EXE-24533991.pf
2017-04-19 17:15:01;.a..;FILE;atime;/WINDOWS/Prefetch/WORDPAD.EXE-24533991.pf
2017-04-19 17:15:01;...b;FILE;crtime;/WINDOWS/Prefetch/WORDPAD.EXE-24533991.pf
2017-04-19 17:15:13;m...;FILE;mtime;/RECYCLER
2017-04-19 17:15:13;.a..;FILE;atime;/RECYCLER
2017-04-19 17:15:13;...b;FILE;crtime;/RECYCLER
2017-04-19 17:15:13;...b;FILE;crtime;/RECYCLER/S-1-5-21-1614895754-1078145449-839522115-500
2017-04-19 17:15:13;...b;FILE;crtime;/RECYCLER/S-1-5-21-1614895754-1078145449-839522115-500/desktop.ini
2017-04-19 17:15:13;...b;FILE;crtime;/RECYCLER/S-1-5-21-1614895754-1078145449-839522115-500/INFO2
2017-04-19 17:15:15;...b;EVT;Creation Time;[7000 / 0x1b58] Strings: [u'Parallel port driver'  u'%%1058']
2017-04-19 17:15:15;m...;EVT;Content Modification Time;[7000 / 0x1b58] Strings: [u'Parallel port driver'  u'%%1058']
2017-04-19 17:15:15;...b;EVT;Creation Time;[7036 / 0x1b7c] Strings: [u'Terminal Services'  u'running']
2017-04-19 17:15:15;m...;EVT;Content Modification Time;[7036 / 0x1b7c] Strings: [u'Terminal Services'  u'running']
2017-04-19 17:15:15;...b;EVT;Creation Time;[7035 / 0x1b7b] Strings: [u'Fast User Switching Compatibility'  u'start']
2017-04-19 17:15:15;m...;EVT;Content Modification Time;[7035 / 0x1b7b] Strings: [u'Fast User Switching Compatibility'  u'start']
2017-04-19 17:15:15;...b;EVT;Creation Time;[7035 / 0x1b7b] Strings: [u'Network Connections'  u'start']
2017-04-19 17:15:15;m...;EVT;Content Modification Time;[7035 / 0x1b7b] Strings: [u'Network Connections'  u'start']
2017-04-19 17:15:15;...b;EVT;Creation Time;[7036 / 0x1b7c] Strings: [u'Fast User Switching Compatibility'  u'running']
2017-04-19 17:15:15;m...;EVT;Content Modification Time;[7036 / 0x1b7c] Strings: [u'Fast User Switching Compatibility'  u'running']
2017-04-19 17:15:15;...b;EVT;Creation Time;[7036 / 0x1b7c] Strings: [u'Network Connections'  u'running']
2017-04-19 17:15:15;m...;EVT;Content Modification Time;[7036 / 0x1b7c] Strings: [u'Network Connections'  u'running']
2017-04-19 17:15:15;...b;EVT;Creation Time;[7035 / 0x1b7b] Strings: [u'SSDP Discovery Service'  u'start']
2017-04-19 17:15:15;m...;EVT;Content Modification Time;[7035 / 0x1b7b] Strings: [u'SSDP Discovery Service'  u'start']
2017-04-19 17:15:15;...b;EVT;Creation Time;[7036 / 0x1b7c] Strings: [u'SSDP Discovery Service'  u'running']
2017-04-19 17:15:15;m...;EVT;Content Modification Time;[7036 / 0x1b7c] Strings: [u'SSDP Discovery Service'  u'running']
2017-04-19 17:15:15;...b;EVT;Creation Time;[7035 / 0x1b7b] Strings: [u'Network Location Awareness (NLA)'  u'start']
2017-04-19 17:15:15;m...;EVT;Content Modification Time;[7035 / 0x1b7b] Strings: [u'Network Location Awareness (NLA)'  u'start']
2017-04-19 17:15:15;...b;EVT;Creation Time;[7036 / 0x1b7c] Strings: [u'Network Location Awareness (NLA)'  u'running']
2017-04-19 17:15:15;m...;EVT;Content Modification Time;[7036 / 0x1b7c] Strings: [u'Network Location Awareness (NLA)'  u'running']
2017-04-19 17:15:29;..c.;FILE;ctime;/RECYCLER
2017-04-19 17:15:29;..c.;FILE;ctime;/RECYCLER/S-1-5-21-1614895754-1078145449-839522115-500
2017-04-19 17:15:29;m...;FILE;mtime;/RECYCLER/S-1-5-21-1614895754-1078145449-839522115-500
2017-04-19 17:15:29;.a..;FILE;atime;/RECYCLER/S-1-5-21-1614895754-1078145449-839522115-500
2017-04-19 17:15:29;..c.;FILE;ctime;/RECYCLER/S-1-5-21-1614895754-1078145449-839522115-500/desktop.ini
2017-04-19 17:15:29;m...;FILE;mtime;/RECYCLER/S-1-5-21-1614895754-1078145449-839522115-500/desktop.ini
2017-04-19 17:15:29;.a..;FILE;atime;/RECYCLER/S-1-5-21-1614895754-1078145449-839522115-500/desktop.ini
2017-04-19 17:15:31;.a..;LOG;Last Time Executed;WPABALN.EXE was run 3 time(s)
2017-04-19 17:15:40;.a..;LOG;Last Time Executed;RUNDLL32.EXE was run 1 time(s)
2017-04-19 17:15:41;..c.;FILE;ctime;/WINDOWS/Prefetch/WPABALN.EXE-18F87702.pf
2017-04-19 17:15:41;m...;FILE;mtime;/WINDOWS/Prefetch/WPABALN.EXE-18F87702.pf
2017-04-19 17:15:41;.a..;FILE;atime;/WINDOWS/Prefetch/WPABALN.EXE-18F87702.pf
2017-04-19 17:15:44;.a..;LOG;Last Time Executed;RUNDLL32.EXE was run 1 time(s)
2017-04-19 17:15:45;..c.;FILE;ctime;/WINDOWS/Prefetch
2017-04-19 17:15:45;m...;FILE;mtime;/WINDOWS/Prefetch
2017-04-19 17:15:45;.a..;FILE;atime;/WINDOWS/Prefetch
2017-04-19 17:15:45;..c.;FILE;ctime;/WINDOWS/Prefetch/RUNDLL32.EXE-47A42AF0.pf
2017-04-19 17:15:45;m...;FILE;mtime;/WINDOWS/Prefetch/RUNDLL32.EXE-47A42AF0.pf
2017-04-19 17:15:45;.a..;FILE;atime;/WINDOWS/Prefetch/RUNDLL32.EXE-47A42AF0.pf
2017-04-19 17:15:45;...b;FILE;crtime;/WINDOWS/Prefetch/RUNDLL32.EXE-47A42AF0.pf
2017-04-19 17:15:54;..c.;FILE;ctime;/WINDOWS/Prefetch/RUNDLL32.EXE-3E6A4AC8.pf
2017-04-19 17:15:54;m...;FILE;mtime;/WINDOWS/Prefetch/RUNDLL32.EXE-3E6A4AC8.pf
2017-04-19 17:15:54;.a..;FILE;atime;/WINDOWS/Prefetch/RUNDLL32.EXE-3E6A4AC8.pf
2017-04-19 17:15:54;...b;FILE;crtime;/WINDOWS/Prefetch/RUNDLL32.EXE-3E6A4AC8.pf
2017-04-19 17:15:58;..c.;FILE;ctime;/RECYCLER/S-1-5-21-1614895754-1078145449-839522115-500/INFO2
2017-04-19 17:15:58;m...;FILE;mtime;/RECYCLER/S-1-5-21-1614895754-1078145449-839522115-500/INFO2
2017-04-19 17:15:58;.a..;FILE;atime;/RECYCLER/S-1-5-21-1614895754-1078145449-839522115-500/INFO2
2017-04-19 17:16:02;...b;EVT;Creation Time;[6006 / 0x1776]
2017-04-19 17:16:02;m...;EVT;Content Modification Time;[6006 / 0x1776]
2017-04-19 17:16:02;m...;REG;Content Modification Time;[\ControlSet001\Control\Session Manager\AppCompatibility] AppCompatCache: [RE...
2017-04-19 17:16:02;m...;REG;Content Modification Time;[\Microsoft\Windows NT\CurrentVersion\Prefetcher] ExitCode: [REG_DWORD_LE] 0 ...
2017-04-19 23:50:00;....;WEBHIST;Expiration Time;Location: http://images.sport1.de/imagix/svg/7356fbfb-2c99-11e6-a9b7-f80f41fc...
